ID ,Saldo
130560,"155,895.28"
130561,"384,978.10"
130562,"146,533.07"
130563,"154,854.64"
130564,"182,313.50"
130565,"169,647.78"
130566,"136,957.90"
130567,"359,681.01"
130568,"989,909.07"
130569,"286,929.97"
130570,"153,539.53"
130571,"1,544,976.17"
130572,"876,549.46"
130573,"550,049.03"
130574,"515,149.21"
130575,"214,609.24"
130576,"240,966.14"
130577,"224,626.91"
130578,"210,370.60"
130579,"274,037.32"
130580,"345,003.52"
130581,"1,335,143.28"
130582,"247,639.11"
130583,"660,728.88"
130584,"1,778,521.54"
130587,"2,370,831.30"
130588,"434,931.08"
130589,"1,887,856.34"
130590,"3,930,531.52"
130591,"84,811.94"
130592,"223,306.47"
130593,"280,842.93"
130594,"686,361.00"
130595,"333,489.84"
130596,"1,290,850.96"
130597,"112,185.79"
130598,"118,677.12"
130599,"887,604.25"
130600,"409,413.13"
130601,"228,957.13"
130602,"114,013.77"
130603,"349,497.75"
130604,"199,739.93"
130605,"166,624.22"
130606,"215,371.60"
130607,"166,457.12"
130608,"5,105,999.77"
130609,"278,323.25"
130610,"280,222.82"
130611,"251,007.84"
130612,"272,260.11"
130613,"220,627.89"
130614,"298,188.38"
130615,"388,916.94"
130616,"273,078.67"
130617,"294,382.29"
130618,"251,202.72"
130619,"1,142,596.44"
130620,"253,170.50"
130621,"294,082.54"
130622,"302,520.68"
130623,"1,156,206.66"
130624,"134,461.84"
130626,"201,989.00"
130627,"220,715.76"
130628,"441,046.77"
130629,"599,084.44"
130630,"111,767.57"
130631,"122,953.74"
130632,"874,632.29"
130633,"1,744,824.51"
130634,"764,922.94"
130635,"1,232,847.62"
130636,"1,118,421.70"
130637,"271,361.04"
130638,"423,396.52"
130639,"391,926.69"
130640,"283,122.20"
130641,"116,626.75"
130642,"111,197.94"
130643,"111,662.10"
130644,"383,907.25"
130645,"885,737.45"
130646,"383,103.20"
130647,"1,380,123.97"
130648,"437,567.49"
130649,"111,207.92"
130650,"327,868.76"
130651,"2,461,848.58"
130652,"112,484.82"
130653,"274,869.40"
130654,"404,117.58"
130655,"1,889,320.70"
130656,"112,996.85"
130657,"542,975.97"
130658,"453,211.70"
130659,"196,789.37"
130660,"199,550.05"
130661,"213,325.76"
